"Year","Month","TII"
1992,9,1.642
1992,10,0.793
1992,11,0.958
1992,12,0.804
1993,1,0.835
1993,2,1.028
1993,3,1.634
1993,4,2.023
1993,5,2.335
1993,6,1.43
1993,7,1.712
1993,8,1.057
1993,9,0.759
1993,10,0.779
1993,11,1.117
1993,12,1.129
1994,1,1.133
1994,2,1.312
1994,3,1.403
1994,4,1.581
1994,5,1.748
1994,6,1.591
1994,7,1.487
1994,8,1.609
1994,9,0.826
1994,10,0.289
1994,11,0.246
1994,12,0.931
1995,1,0.592
1995,2,0.593
1995,3,0.403
1995,4,0.225
1995,5,-1.386
1995,6,-2.002
1995,7,-2.059
1995,8,-2.212
1995,9,-2.003
1995,10,-2.267
1995,11,-2.666
1995,12,-1.719
1996,1,-1.402
1996,2,-1.288
1996,3,-0.808
1996,4,-0.769
1996,5,-0.15
1996,6,-0.063
1996,7,-0.158
1996,8,-0.617
1996,9,-1.197
1996,10,-0.299
1996,11,-0.152
1996,12,-0.338
1997,1,-0.63
1997,2,-0.698
1997,3,-0.592
1997,4,0.362
1997,5,1.08
1997,6,1.647
1997,7,1.843
1997,8,1.957
1997,9,0.964
1997,10,0.519
1997,11,0.98
1997,12,0.582
1998,1,0.685
1998,2,0.265
1998,3,0.144
1998,4,0.022
1998,5,-0.777
1998,6,-3.004
1998,7,-4.104
1998,8,-4.886
1998,9,-4.83
1998,10,-4.57
1998,11,-4.179
1998,12,-3.699
1999,1,-2.5
1999,2,-2.315
1999,3,-1.958
1999,4,-2.109
1999,5,-2.619
1999,6,-2.707
1999,7,-2.819
1999,8,-3.656
1999,9,-3.139
1999,10,-2.062
1999,11,-1.993
1999,12,-2.245
2000,1,-1.785
2000,2,-2.048
2000,3,-2.184
2000,4,-1.634
2000,5,-1.828
2000,6,-1.114
2000,7,-1.427
2000,8,-1.579
2000,9,-1.953
2000,10,-1.199
2000,11,-1.249
2000,12,-0.733
2001,1,-0.593
2001,2,-1.044
2001,3,-0.975
2001,4,-0.688
2001,5,-0.358
2001,6,-1.256
2001,7,-0.856
2001,8,-1.429
2001,9,-2.806
2001,10,-2.49
2001,11,-2.183
2001,12,-2.213
2002,1,-1.88
2002,2,-1.427
2002,3,-0.917
2002,4,0.018
2002,5,0.961
2002,6,1.699
2002,7,1.339
2002,8,0.147
2002,9,0.002
2002,10,-0.288
2002,11,0.339
2002,12,0.509
2003,1,-0.437
2003,2,0.35
2003,3,-0.231
2003,4,-0.529
2003,5,-1.63
2003,6,-1.444
2003,7,-1.247
2003,8,-2.365
2003,9,-3.365
2003,10,-3.054
2003,11,-1.972
2003,12,-1.548
2004,1,-1.673
2004,2,-1.359
2004,3,-0.82
2004,4,-0.304
2004,5,0.259
2004,6,-0.66
2004,7,-0.583
2004,8,-1.17
2004,9,-1.371
2004,10,-1.599
2004,11,-1.656
2004,12,-1.07
2005,1,-0.736
2005,2,-0.742
2005,3,-0.979
2005,4,-0.893
2005,5,-0.777
2005,6,-1.533
2005,7,-2.786
2005,8,-2.896
2005,9,-3.495
2005,10,-2.326
2005,11,-2.275
2005,12,-2.665
2006,1,-2.222
2006,2,-1.651
2006,3,-1.55
2006,4,-1.439
2006,5,-1.523
2006,6,-1.624
2006,7,-2.052
2006,8,-2.217
2006,9,-2.416
2006,10,-2.204
2006,11,-1.785
2006,12,-0.628
2007,1,-1.052
2007,2,-1.514
2007,3,-1.107
2007,4,-1.247
2007,5,-1.182
2007,6,-0.955
2007,7,-1.61
2007,8,-1.599
2007,9,-2.582
2007,10,-3.092
2007,11,-3.359
2007,12,-2.643
2008,1,-2.362
2008,2,-3.104
2008,3,-2.799
2008,4,-1.841
2008,5,-2.127
2008,6,-2.291
2008,7,-1.603
2008,8,-1.515
2008,9,-2.276
2008,10,-1.75
2008,11,-1.284
2008,12,-1.495
2009,1,-1.13
2009,2,-0.456
2009,3,-0.385
2009,4,0.167
2009,5,0.602
2009,6,-0.101
2009,7,-0.597
2009,8,-0.503
2009,9,-0.306
2009,10,-0.957
2009,11,0.022
2009,12,0.394
2010,1,0.459
2010,2,0.006
2010,3,-0.325
2010,4,-1.354
2010,5,-2.509
2010,6,-3.249
2010,7,-4.006
2010,8,-5.089
2010,9,-5.435
2010,10,-4.412
2010,11,-3.82
2010,12,-3.203
2011,1,-2.899
2011,2,-2.339
2011,3,-1.846
2011,4,-1.7
2011,5,-1.47
2011,6,-1.44
2011,7,-1.177
2011,8,-2.019
2011,9,-2.531
2011,10,-2.166
2011,11,-1.484
2011,12,-1.306
2012,1,-1.071
2012,2,-1.251
2012,3,-1.22
2012,4,-1.161
2012,5,-1.187
2012,6,-1.426
2012,7,-1.706
2012,8,-2.174
2012,9,-3.209
2012,10,-2.586
2012,11,-1.749
2012,12,-1.656
2013,1,-1.898
2013,2,-1.694
2013,3,-1.366
2013,4,-1.002
2013,5,-1.007
2013,6,-0.85
2013,7,-1.642
2013,8,-1.936
2013,9,-2.56
2013,10,-3.131
2013,11,-1.787
2013,12,-0.993
2014,1,-0.747
2014,2,-0.932
2014,3,-0.172
2014,4,0.751
2014,5,0.751
2014,6,0.076
2014,7,-1.332
2014,8,-2.272
2014,9,-2.395
2014,10,-2.176
2014,11,-0.581
2014,12,-0.356
2015,1,-0.16
2015,2,0.062
2015,3,1.191
2015,4,1.732
2015,5,1.551
2015,6,1.701
2015,7,1.336
2015,8,1.118
2015,9,-0.177
2015,10,-0.547
2015,11,0.436
2015,12,0.371
2016,1,0.287
2016,2,1.309
2016,3,1.267
2016,4,0.849
2016,5,-1.024
2016,6,-2.035
2016,7,-3.056
2016,8,-3.654
2016,9,-4.338
2016,10,-3.852
2016,11,-3.987
2016,12,-2.963
2017,1,-2.372
2017,2,-1.796
2017,3,-0.99
2017,4,-0.904
2017,5,-0.752
2017,6,-0.963
2017,7,-1.312
2017,8,-2.293
2017,9,-3.465
2017,10,-4.013
2017,11,-3.931
2017,12,-3.536
2018,1,-2.555
2018,2,-1.695
2018,3,-2.04
2018,4,-1.088
2018,5,-0.143
2018,6,0.149
2018,7,0.019
2018,8,-0.869
